Title,Rating,No of reviews,location,Part of,What you will do,Host,Since,reviews,verification,comment,url
Empower your true authentic self,5.0,Rated 5.0 out of 5 from 10 reviews.,Olympian and Paralympian collection,Download Zoom,"Be ready to enter a safe space where we will connect and exchange experiences.  We will talk through the importance of sport as a life lesson and the skills that has given us to face and overcome obstacles.  As an athlete, I'll share with you my self acceptance story and self love that allowed me to become the person I am today.  We will recognize the value of being proud that relates to many great athletes,  and learn from their examples. Overall an experience towards personal growth and self empowerment applicable in our daily life and careers. Be ready to enter a safe space where we will connect and exchange experiences.  We will talk through the importance of sport as a life lesson and the skills that has given us to face and overcome obstacles.  As an athlete, I'll share with you my self acceptance story and self love that allowed me to become the person I am today.  We will recognize the value of being proud that relates to many great athletes,  and… ",Olympic experience hosted by Javier,Olympian · Representing Spain · Host on Airbnb since 2014,10 Reviews,Identity verified,"Hey, my name is Javier. So great to meet you.  I'm an Olympic figure skater from Spain and I've represented the national team at the top international level. Throughout my competitive career I've discovered the importance of being your authentic self in every aspect of your life. This relates to most of the athletes achieving the greatest stage and offering their best version, feeling comfortable with who they are and with what they do.  Being able to accept my self in my personal life allowed me to be proud of who I am and to fully express my self on and off the ice. I believe sport is life lesson that can help everyone, setting up an example of self love and acceptance, and empowering us to become who we truly are. Hey, my name is Javier. So great to meet you.  I'm an Olympic figure skater from Spain and I've represented the national team at the top international level. Throughout my competitive career I've discovered the importance of being your authentic self in every aspect of your life. This relates to most of the athletes achieving the greatest stage and offering their best version, feeling comfortable with who they are and with what they do.  Being able to… ",https://www.airbnb.co.in/experiences/1881905?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Make Vegan Brownies with the Family,5.0,Rated 5.0 out of 5 from 12 reviews.,"Medellín, Colombia",Airbnb Online Experiences,"Spending time with family is probably one of my favorite activities, so this experience invites us to cook with company !! Invite your mom, brother, wife, cousin, children, grandfather ... with whom you want to enjoy a pleasant and fun time. With over 120 years of first preparation, this small chocolate cake is surely the weakness of more than one. We will cook vegan brownies! I chose this recipe because it is something that I personally thought I could never eat without the conventional ingredients, because it is super easy, something that can encourage them to know much more about this world, because they do not need too many ingredients to prepare something exquisite and because good food based on fruits and vegetables, it is possible! From my kitchen together we will do magic and we will learn what to eat healthy and delicious if possible. I will indicate a list of what we will need, step by step I will guide them and we will be solving doubts about how to replace ingredients and how we can give a special touch to our brownies according to the tastes of each one. At the end I will suggest a couple of very simple decorations, but really valuable, since this recipe can be very useful to celebrate a birthday, prepare a special breakfast, share as a gift or simply enjoy with a tea or glass of milk after lunch. Spending time with family is probably one of my favorite activities, so this experience invites us to cook with company !! Invite your mom, brother, wife, cousin, children, grandfather ... with whom you want to enjoy a pleasant and fun time. With over 120 years of first preparation, this small chocolate cake is surely the weakness of more than one. We will cook vegan brownies! I chose this recipe because it is something that I personal… ",Online experience hosted by Sara,Host on Airbnb since 2018,12 Reviews,Identity verified,"I am Sara, a lover of cooking and her world. I love chocolate, cakes, ice cream and desserts in general. A while ago I experienced what an elimination diet is to know what foods could alter my hypothyroidism and with this I entered the world of healthy eating, with vegetarian and vegan options, but the most important thing is that I created a link between my body and the food that I want to take care of and keep for the rest of my life. I understood that the body speaks and that of course it is important to listen to it, it is our greatest treasure, without it we are nothing. I am very happy to share with you a bit of my experience. I am Sara, a lover of cooking and her world. I love chocolate, cakes, ice cream and desserts in general. A while ago I experienced what an elimination diet is to know what foods could alter my hypothyroidism and with this I entered the world of healthy eating, with vegetarian and vegan options, but the most important thing is that I created a link between my body and the food that I want to take care of and keep for the rest of my life. I understood that the body speaks and that of co… ",https://www.airbnb.co.in/experiences/1736418?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Michelin Star Chef - Brad Carter,5.0,1 review,"Birmingham, United Kingdom",Airbnb Online Experiences,"The preservation and fermentation of food have been culinary techniques used for centuries across the globe. In this exclusive Masterclass, acclaimed Chef Brad Carter will introduce you to the ancient techniques, processes and fundamentals of preserving ingredients to elevate the flavors of your cooking! The focus will be on local sustainable ingredients paired with their historical and cultural relevance. This unique experience will inspire and teach you how to fully savor the naturally fresh flavors of the season, while also avoiding food waste in your home kitchen.  Interact with Brad Carter as he shares with you exclusive culinary secrets behind the preservation methods that go into creating Michelin Star dishes! You will touch on topics that include Lacto-fermentation, Vinegars, Pickling, Dehydrating, and Home Charcuterie. Undoubtedly, a fun and dynamic way to build your food storage at home and add a variety of flavors to your daily meals! An exciting culinary adventure awaits you! The preservation and fermentation of food have been culinary techniques used for centuries across the globe. In this exclusive Masterclass, acclaimed Chef Brad Carter will introduce you to the ancient techniques, processes and fundamentals of preserving ingredients to elevate the flavors of your cooking! The focus will be on local sustainable ingredients paired with their historical and cultural relevance. This unique experience will i… ",Online experience hosted by Take A Chef,Host on Airbnb since 2018,1 Review,Identity verified,"Since 2012, Take a Chef has connected thousands of local chefs and guests in over 100 countries, through private chef experiences at home. Now, we are thrilled to invite some of the best Michelin-starred chefs to your kitchen through a series of interactive online experiences. Learn how to cook some of their emblematic dishes and allow the chefs to guide you through their craft. In this experience, we are excited to present to you Chef Brad Carter. Chef Brad’s menus at Carters of Moseley evolve on a daily basis and are developed by the natural rhythms of the season, led by the ingredients available to him and inspired by the producers who work the British landscape. His overall philosophy is to be an immersive expression of British terror within the moment. An obsession with British produce that earned his restaurant a Michelin star. Since 2012, Take a Chef has connected thousands of local chefs and guests in over 100 countries, through private chef experiences at home. Now, we are thrilled to invite some of the best Michelin-starred chefs to your kitchen through a series of interactive online experiences. Learn how to cook some of their emblematic dishes and allow the chefs to guide you through their craft. In this experience, we are excited to present to you Chef Brad Carter. Chef Brad’s menus at Cart… ",https://www.airbnb.co.in/experiences/1724166?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Cooking with a Moroccan Family,4.96,Rated 4.96 out of 5 from 330 reviews.,"Marrakech, Morocco",Airbnb Online Experiences,"You could check our experience in-person since June  2018 with 770 reviews : https://www.airbnb.com/experiences/255607 Our family believes that it could be hard for people to travel and discover traditional authentic food, so we are opening our home to you: join us online!  Let's cook together local Moroccan food, discuss and share different techniques used in Moroccan cuisine. I will answer any questions you have and happily share our life and culture. We will be making a very popular and delicious dish, the chicken Tajine with vegetables and a fresh Moroccan salad. N.B:  We are very open to make any other moroccan dish such us: - Tajine lamb vegetables. - Tajine kefta - Tajine fish - Tajine lamb onion and raisin - Tajine beef, prunes, apricot & almonds - Friday Couscous - Pastilla - Moroccan bread .... And more things you just contact us. You could check our experience in-person since June  2018 with 770 reviews : https://www.airbnb.com/experiences/255607 Our family believes that it could be hard for people to travel and discover traditional authentic food, so we are opening our home to you: join us online!  Let's cook together local Moroccan food, discuss and share different techniques used in Moroccan cuisine. I will answer any questions you have and happily share our… ",Online experience hosted by Brahim,Host on Airbnb since 2015,330 Reviews,Identity verified,"My name is Brahim, I am 36 years old, born and raised in Marrakech. I live with all my family, 3 generations under the same roof! I've worked in tourism for more than 10 years and I like it because I get to meet a lot of people from all over the world. My wife's name is Sana and we have 2 children, a girl Jannat and a boy Zyad. We are Airbnb Experiences hosts for more than a year and half and we really like it.  It has changed our life for the best, we are proud to be your host today!",https://www.airbnb.co.in/experiences/1659307?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Restorative Contact for Quarantine Pairs,5.0,Rated 5.0 out of 5 from 9 reviews.,"New York, United States",Airbnb Online Experiences,"Restorative Contact begins with the understanding that touch is an important part of human development and wellbeing. It helps us to be present in the moment, in our bodies, and with the important people in our lives. In class we will work with our quarantine buddy, guided through a mostly floor-based sequence of touch and weight-sharing, using various surfaces of the body. These passive contact poses are designed to regenerate, replenish and reset the body and mind. We work slowly and mindfully with care and respect for our body as well as our partner's. Deep relaxation has been shown to help with anxiety, insomnia, digestion, fertility and high blood pressure. The effects of touch are far-reaching, including emotional, physical, and cognitive wellbeing and improvement. Studies indicate that touch boosts dopamine, serotonin and oxytocin, the hormones associated with making people feel good, and lowers cortisol levels which are associated with stress. • This workshop is strictly non-sexual so your partner could be a roommate, lover, relative, or other person you are sharing intimate space with. • Have enough room for two people to lay down (approx. 7'x7') If there is a rug that's perfect. A wood floor also works well as long as it's not too cold. • You have the option to keep your video off. • You must purchase two spots as the activity requires a partner IRL. Restorative Contact begins with the understanding that touch is an important part of human development and wellbeing. It helps us to be present in the moment, in our bodies, and with the important people in our lives. In class we will work with our quarantine buddy, guided through a mostly floor-based sequence of touch and weight-sharing, using various surfaces of the body. These passive contact poses are designed to regenerate, replenish and res… ",Online experience hosted by Gabrielle,Host on Airbnb since 2015,9 Reviews,Identity verified,"I am the creator of Restorative Contact. I developed this form by synthesizing key elements of various somatic techniques including Contact Improvisation, Restorative Yoga, Tai Chi, Klein Technique, Authentic Movement, and Deep Listening over my 18+ years as a professional dancer, choreographer and movement educator.",https://www.airbnb.co.in/experiences/1698043?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Learn Pasta with Michelin Trained Chef,4.95,Rated 4.95 out of 5 from 20 reviews.,"London, United Kingdom",Airbnb Online Experiences,"In this online class, I'm going to share with you my knowledge, so you too can create restaurant-quality pasta! You'll be filled with the confidence you need to make pasta from scratch, without any fancy equipment, and the fundamental knowledge to really nail any fresh pasta you make! We'll make a variety of pasta shapes by hand and you can then choose one or two to focus on making enough to cook and finish. There'll be a couple of options of sauces to choose from, you can pick which you prefer ahead of the session (I'll send an email detailing which ingredients are for which sauce. How it works: 1) You receive a link to join. 2) You'll learn everything you need to know about the wonderful world of fresh pasta! 3) We make and shape the pasta together by hand.  4) You learn how to really cook pasta (as important as making it!), finishing it with delicious seasonal ingredients. 5) You'll have a chef-quality meal to enjoy and will have the confidence to make fresh pasta from scratch. What's included: The opportunity for Q&A with a professional Michelin trained chef An introduction to the fundamentals of great pasta Tips and techniques passed on from years in award-winning kitchens A load of fun! In this online class, I'm going to share with you my knowledge, so you too can create restaurant-quality pasta! You'll be filled with the confidence you need to make pasta from scratch, without any fancy equipment, and the fundamental knowledge to really nail any fresh pasta you make! We'll make a variety of pasta shapes by hand and you can then choose one or two to focus on making enough to cook and finish. There… ",Online experience hosted by Anthea,Host on Airbnb since 2016,20 Reviews,Identity verified,"I’m a trained professional chef based in London with a love of wine and all things food! Over the last 10 years I’ve worked in some incredible kitchens, most notably the Michelin starred River Cafe in London which has been my biggest influence. I was also Head Chef at London's Venetian inspired small-plates restaurant Polpetto which received a Michelin bib gourmand during my time there. I’m all about seasonality and I generally love to cook everything…although I do have an insatiable sweet-tooth! What excites me most is sharing my knowledge and enthusiasm with others. It just never gets old watching someones eyes light up when they create something which makes them proud, or when they have that ‘eureka moment’ when something they’ve found tricky finally falls into place. I’m a trained professional chef based in London with a love of wine and all things food! Over the last 10 years I’ve worked in some incredible kitchens, most notably the Michelin starred River Cafe in London which has been my biggest influence. I was also Head Chef at London's Venetian inspired small-plates restaurant Polpetto which received a Michelin bib gourmand during my time there. I’m all about seasonality and I generally love to cook everything…although I do have an insatiable… ",https://www.airbnb.co.in/experiences/1732396?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Origami and the Essence of Japan,4.97,Rated 4.97 out of 5 from 72 reviews.,"Koto City, Japan",Airbnb Online Experiences,"This is a rare opportunity to learn Origami from a Japanese local, as if Japanese kids inherit the tradition from their family! Origami is fun. You fit corners and lines, fold the paper in many directions, then you use a weird technique to completely transform the paper, and a boat or a bird or a flower unfold. It's simply a wow.  But you can't expect a typical Origami class here, because I will share with you Japanese culture associated with Origami. I will tell you seasonal events and things we love as well as their meanings, and our unique values. That's the true purpose of this experience.  I will pick up a few popular Origami recipes and go through folding processes, emphasizing basic skills. You will also hear a short story about culture and traditions linked with each item.  Join me in the process of this lovely handcraft with your favorite color paper! I am looking forward to sharing with you the joy of creating things together. ☆Available programs: Normal (various items), first time Origami for under 12 kids, flowers, toys, animals and birds, people and home ★This experience best suits guests older than 11, who have no or little experience in Origami and/or have average craft making experience.  ☆Message me before booking ! I’ll set up a customized lesson. ・Children under 12 Years old  ・Advanced Origami learners ・Those who are very confident in craft making This is a rare opportunity to learn Origami from a Japanese local, as if Japanese kids inherit the tradition from their family! Origami is fun. You fit corners and lines, fold the paper in many directions, then you use a weird technique to completely transform the paper, and a boat or a bird or a flower unfold. It's simply a wow.  But you can't expect a typical Origami class here, because I will share with you Japanese cultu… ",Online experience hosted by Manami,Host on Airbnb since 2019,72 Reviews,Identity verified,"I always have an endless interest in traditional Japanese culture. I started Origami when I was 3, and practiced it intensively especially when I lived abroad at the age of 7. There me and my little sister had no toys nor friends. So we cut any available paper into square and made a lot of paper flowers, animals, furniture and people. We did the same thing at school, surprised other kids and could make friends with them. Origami is a great way to make you concentrated, leaving things behind, finished with the sense of achieving something beautiful, and get connected with people. I have a PhD in cultural heritage study and have hosted guided tours in an old part of Tokyo (https://www.airbnb.jp/experiences/1051949 ). I would like to share our culture to everyone who would like to know about Japan . I always have an endless interest in traditional Japanese culture. I started Origami when I was 3, and practiced it intensively especially when I lived abroad at the age of 7. There me and my little sister had no toys nor friends. So we cut any available paper into square and made a lot of paper flowers, animals, furniture and people. We did the same thing at school, surprised other kids and could make friends with them. Origami is a great way to make you concentrated, leaving things behind… ",https://www.airbnb.co.in/experiences/1675585?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Olympic motherhood with Caroline Lind,5.0,1 review,Olympian and Paralympian collection,Download Zoom,"This experience is about motherhood the Olympic way. I'll discuss my Olympic journey and how it compares to my new journey: motherhood. I dive deep into my pregnancy, labor, and delivery and how it compared to training and the Olympic final. Then we'll move on to how the lessons I learned in rowing have carried over into motherhood and life in general. If he's awake, I'd love to show you all my little guy and we can talk about getting back into shape after giving birth. I'll share what it takes (for me) to loose the weight and how I approach my life now, being healthy and taking care of a new baby. Of course, I'll also show you my Olympic gold medals and answer any questions you have about rowing, the olympics, getting fit, or being a mother. This experience is about motherhood the Olympic way. I'll discuss my Olympic journey and how it compares to my new journey: motherhood. I dive deep into my pregnancy, labor, and delivery and how it compared to training and the Olympic final. Then we'll move on to how the lessons I learned in rowing have carried over into motherhood and life in general. If he's awake, I'd love to show you all my little guy and we can talk about getting back into s… ",Olympic experience hosted by Caroline,Olympian · Representing USA · Host on Airbnb since 2018,1 Review,Identity verified,"I'm a two-time Olympic gold medalist in rowing and a new mom. I was on the women's national team for 15 years, I was ranked number one rower in the world in 2014, and I have 21 international medals, including from the Olympics, World Championships, and World Cup races.",https://www.airbnb.co.in/experiences/1824478?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Power Yoga from Barcelona,5.0,Rated 5.0 out of 5 from 46 reviews.,"Barcelona, Spain",Airbnb Online Experiences,"Reconnect to your body and mind with this interactive 45 minute vinyasa yoga class for all levels. With guidance through different poses and movements, you will reach inner peace and learn basic relaxation skills.  Dynamic vinyasa flow is all about building mindfulness of self and body, while building strength and flexibility. After quick introductions, we’ll check in to see what your yoga level is and answer any questions or concerns that you might have. We’ll move into breathing exercises before we get our bodies moving. Once we complete our flow, we’ll slowly wind down and come back into our bodies and minds before we share how we felt about the class. My hope is for you to leave feeling more connected to yourself and energized by your surroundings. Reconnect to your body and mind with this interactive 45 minute vinyasa yoga class for all levels. With guidance through different poses and movements, you will reach inner peace and learn basic relaxation skills.  Dynamic vinyasa flow is all about building mindfulness of self and body, while building strength and flexibility. After quick introductions, we’ll check in to see what your yoga level is and answer any questions or concerns… ",Online experience hosted by Macarena,Host on Airbnb since 2012,46 Reviews,Identity verified,"Hi! I'm Macarena, or you can call me Maca, a traveler and certified yoga teacher in four different styles: vinyasa, ashtanga, hatha, and yin yoga. I’ve completed over 800 hours in training certification and have been teaching yoga for eight years. Join me in reconnecting with our bodies and minds.",https://www.airbnb.co.in/experiences/1659069?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Five country tour w Danielle Scott-Aruda,4.90,Rated 4.90 out of 5 from 10 reviews.,Olympian and Paralympian collection,Download Zoom,"Welcome to this online Olympics Experience with me—the only five-time USA indoor volleyball Olympian. With my Southern hospitality I’m excited to meet you and invite you to travel with me on my Olympic journey through more than five countries.  We’ll travel virtually to each of the five host Olympic countries in which I participated. During each leg of the trip, you’ll see exhibits of my Olympic memorabilia and I’ll share stories of my Olympic experience along with interesting facts about that city or country. This around-the-world Olympics Experience will include two bonus stops. (You’ll discover the destinations once onboard.) Next, get ready to move, as we’ll learn a dance from one of the countries visited. Don't worry—you don't have to have professional rhythm. It’ll be fun as I walk you through the steps. Finally, let's continue our conversation with Q & A. Grab your note pad and colored pens and pencils so we can start to create a travel vision board.  This Experience includes travel to some of the places I’ve been to after 25 years on the road. Over the years, I’ve competed at the highest level, experienced different cultures, and made friends and new connections as I look forward to doing with you. Welcome to this online Olympics Experience with me—the only five-time USA indoor volleyball Olympian. With my Southern hospitality I’m excited to meet you and invite you to travel with me on my Olympic journey through more than five countries.  We’ll travel virtually to each of the five host Olympic countries in which I participated. During each leg of the trip, you’ll see exhibits of my Olympic memorabilia and I’ll share stories of my… ",Olympic experience hosted by Danielle,Olympian · Representing USA · Host on Airbnb since 2020,10 Reviews,Identity verified,"I’m from Baton Rouge, Louisiana and I’m one of four indoor volleyball Olympians in the world to have competed in five Olympics. Currently, I am the only American to have that distinction. During my last two Olympic appearances I helped my team win the silver medal. On the road to multiple Olympics we won five Grand Prix titles, multiple NORCECA championships and medaled in the World Cup as well as the Pan Am Games. I also played professionally internationally. Although my main position is middle blocker/hitter I've played all positions. I’ve even played four-person beach volleyball and entered in the AVP and FIVB tournaments, both professional. I’m from Baton Rouge, Louisiana and I’m one of four indoor volleyball Olympians in the world to have competed in five Olympics. Currently, I am the only American to have that distinction. During my last two Olympic appearances I helped my team win the silver medal. On the road to multiple Olympics we won five Grand Prix titles, multiple NORCECA championships and medaled in the World Cup as well as the Pan Am Games. I also played professionally internationally. Although my main position is middle… ",https://www.airbnb.co.in/experiences/1777899?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
"Mate, Argentina's Famous Drink & Tasting",5.0,Rated 5.0 out of 5 from 41 reviews.,"Buenos Aires, Argentina",Airbnb Online Experiences,"Come and Join us in this online experience in which we will go along The history of this typical Argentinean and Rioplatense beverage.  We will let you know about the history, Yerba Mate, Different blends and recipients.  Last but not least, we will let you know about the tricks of how to prepare a tasty and argentinean Mate and why not try to do it at home! What are you waiting? Come and join me in this 45 minutes experience. https://www.instagram.com/stories/highlights/17900952055463249/?hl=es-la",Online experience hosted by Pablo & Team,Host on Airbnb since 2018,41 Reviews,Identity verified,"Hi, Im Pablo!! I have been working in Tourism for more than 15 years. I am a passionate about my country, specially in everything related to Culture, History and Gastronomy. I do not work on my own, Instead I work along with  mates that share my passion too!!  Qualified Tour Guides and local experts who will show you Buenos Aires main highlights in an enrich, friendly and easygoing way. My team will love to share with you  expertise and Passion for our Country! So, this time we designed an online experience in which the main star will be THE  MATE!  a great companion during my working hours  but also whenever I want to have a relax time!! https://www.instagram.com/toursbuenosaires/?hl=es-la Hi, Im Pablo!! I have been working in Tourism for more than 15 years. I am a passionate about my country, specially in everything related to Culture, History and Gastronomy. I do not work on my own, Instead I work along with  mates that share my passion too!!  Qualified Tour Guides and local experts who will show you Buenos Aires main highlights in an enrich, friendly and easygoing way. My team will love to share with you  expertise and Passion for our Country! So, this time we designe… ",https://www.airbnb.co.in/experiences/1698893?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
The Secret of Seattle's Disappearing Hill,4.90,Rated 4.90 out of 5 from 80 reviews.,"Seattle, United States",Airbnb Online Experiences,"On this virtual walk, we will explore Seattle's most famous land alteration project: the complete removal of a hill in the downtown area. Through a series of illustrations and maps and historic photos, we'll virtually cover about 1.5 miles circumnavigating the old hill in the area known as the Denny Regrade, where Amazon's campus is now located. Along the walk, we'll learn about how and why early Seattleites undertook this audacious and ambitious project, which they completed between 1897 and 1930. We'll also see clues in the landscape that allow you to visualize Denny Hill as well as see historic images to better understand the story. On this virtual walk, we will explore Seattle's most famous land alteration project: the complete removal of a hill in the downtown area. Through a series of illustrations and maps and historic photos, we'll virtually cover about 1.5 miles circumnavigating the old hill in the area known as the Denny Regrade, where Amazon's campus is now located. Along the walk, we'll learn about how and why early Seattleites undertook this audacious and ambitious… ",Online experience hosted by David,Host on Airbnb since 2019,80 Reviews,Identity verified,"Hi. I’m David Williams, a member of the Atlas Obscura community.  I am an award-winning author who has been leading walking tours around Seattle for more than 15 years. My books weave together the human and natural histories of Seattle and its surrounding areas. They include Too High and Too Steep: Reshaping Seattle's Topography, Seattle Walks: Discovering History and Nature in the City, The Seattle Street-Smart Naturalist, and Waterway: The Story of Seattle's Locks and Ship Canal. This virtual walk is based on what I learned writing those books. Hi. I’m David Williams, a member of the Atlas Obscura community.  I am an award-winning author who has been leading walking tours around Seattle for more than 15 years. My books weave together the human and natural histories of Seattle and its surrounding areas. They include Too High and Too Steep: Reshaping Seattle's Topography, Seattle Walks: Discovering History and Nature in the City, The Seattle Street-Smart Naturalist, and Waterway: The Story of Seattle's Locks and Ship Canal. Th… ",https://www.airbnb.co.in/experiences/1661921?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Animal Sanctuary Virtual Experience,5.0,Rated 5.0 out of 5 from 30 reviews.,"Canterbury, United States",Airbnb Online Experiences,"You may not be able to visit us in person but you can still meet our amazing residents here! At The Riley Farm Rescue, we are able to bring the tour to you, virtually! These tours are interactive, engaging, and informative. We will take you around the farm to learn some fun facts about the animals and enjoy a virtual visit. You can hear their rescue stories, learn why Eugene is the only goat that stays with the sheep, and find out why Lucian is so sassy. We can't wait to show you around!",Online experience hosted by Marla,Host on Airbnb since 2020,30 Reviews,Identity verified,"In 2017, The Riley Farm Rescue was incorporated as a non-profit and 501c3. Since then we have rescued over 100 animals who are now residents at our sanctuary. Our Vice President, Sarah, is a kindergarten teacher who does virtual live tours for students, live story-time readings with the animals, and loves to talk about the animals and educate others about their stories. Marla, our President and Founder, has dedicated her life to providing forever homes to these animals and knows them through and through. To get to know our amazing resident animals for yourself please join us for a virtual tour and meet Lucian, Murphy, Starlight, and more! In 2017, The Riley Farm Rescue was incorporated as a non-profit and 501c3. Since then we have rescued over 100 animals who are now residents at our sanctuary. Our Vice President, Sarah, is a kindergarten teacher who does virtual live tours for students, live story-time readings with the animals, and loves to talk about the animals and educate others about their stories. Marla, our President and Founder, has dedicated her life to providing forever homes to these animals and knows them through and… ",https://www.airbnb.co.in/experiences/1704199?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Quick Classic Cocktails - Two Ways,5.0,Rated 5.0 out of 5 from 14 reviews.,"Los Angeles, United States",Airbnb Online Experiences,"Missing your favorite cocktail bar? Never fret! In just 60 minutes, we’ll walk you through how to make two delicious classic cocktails in TWO WAYS.  Nick will show you how to properly use all those fancy bar-supplies to shake and stir drinks like a true professional and Meggan will recreate the recipes using any tools commonly found in most kitchens. Spoiler! They turn out equally delicious. Together, we'll walk you through every step to make a true Old Fashioned and a Whiskey Sour.  While both of these drinks are ideally Whiskey based, if you're not a fan of Whiskey, no worries! These drinks can easily sub in different liquors such as Tequila, Mezcal, Gin, Pisco and more. We are flexible, wildly scrappy and love to get creative.  You'll leave the experience with knowledge on how to elevate your home bar game, cost-friendly recommendations for tools and supplies, new friends, and if all goes well, a little buzz. Both drinks are absolute show-stoppers — you'll be able to wow friends and family for years to come. Missing your favorite cocktail bar? Never fret! In just 60 minutes, we’ll walk you through how to make two delicious classic cocktails in TWO WAYS.  Nick will show you how to properly use all those fancy bar-supplies to shake and stir drinks like a true professional and Meggan will recreate the recipes using any tools commonly found in most kitchens. Spoiler! They turn out equally delicious. Together, we'll walk you through… ",Online experience hosted by Meggan,Host on Airbnb since 2012,14 Reviews,Identity verified,"Hello! We are Nick and Meggan, a husband wife team who have worked in the hospitality industry for 10+ years.  Together we make a dynamic duo  (Nick mostly cleaning up after Meggan's whirlwind whims and messes). We love to teach bar basics, give people the inspiration and tools to create quality cocktails at home, and hopefully offer a bit of entertainment in the process. Meggan has worked in every bar imaginable, from slinging tap beer in Mid-Western dives to crafting costly, culinary works of art in Michelin-star restaurants in the heart of Los Angeles.  Nick has helmed bars for Wolfgang Puck, Josiah Citrin and managed Portland's iconic Clyde Common. He currently owns and operates The Richmond Bar, a cocktail bar where he curates seasonal menus with locally sourced ingredients and creates delicious riffs on classic cocktails. Hello! We are Nick and Meggan, a husband wife team who have worked in the hospitality industry for 10+ years.  Together we make a dynamic duo  (Nick mostly cleaning up after Meggan's whirlwind whims and messes). We love to teach bar basics, give people the inspiration and tools to create quality cocktails at home, and hopefully offer a bit of entertainment in the process. Meggan has worked in every bar imaginable, from slinging tap beer in Mid-Western dives to crafting cost… ",https://www.airbnb.co.in/experiences/1763066?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
